accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
AB092928.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. Y,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60591,Reticulitermes speratus,Japan: Saitama: Tokigawa,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Dinenympha sp.,Y,isolated from gut contents of Reticulitermes speratus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092929.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. PgA,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60591,Reticulitermes speratus,Japan: Saitama: Tokigawa,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Dinenympha sp.,PgA,isolated from gut contents of Reticulitermes speratus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092930.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Oxymonadidae,Oxymonas,Oxymonas,Oxymonas sp. Nk_U03,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60586,Neotermes koshunensis,Japan: Okinawa,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Oxymonas sp.,Nk_U03,isolated from gut contents of Neotermes koshunensis,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092931.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Oxymonadidae,Oxymonas,Oxymonas,Oxymonas sp. Nk_U08,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60586,Neotermes koshunensis,Japan: Okinawa,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Oxymonas sp.,Nk_U08,isolated from gut contents of Neotermes koshunensis,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092932.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Oxymonadidae,Oxymonas,Oxymonas,Oxymonas sp. Nk_U28,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60586,Neotermes koshunensis,Japan: Okinawa,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Oxymonas sp.,Nk-U28,isolated from gut contents of Neotermes koshunensis,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092933.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. OS1,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,201979,Reticulitermes hesperus,Canada: British Columbia: Kelowna,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Dinenympha sp.,OS1,isolated from gut contents of Reticulitermes hesperus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092934.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. OS2,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,201979,Reticulitermes hesperus,Canada: British Columbia: Kelowna,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Dinenympha sp.,OS2,isolated from gut contents of Reticulitermes hesperus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092935.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. OS19,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,201979,Reticulitermes hesperus,Canada: British Columbia: Kelowna,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Dinenympha sp.,OS19,isolated from gut contents of Reticulitermes hesperus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092936.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha,Pyrsonympha sp. OS13,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,201979,Reticulitermes hesperus,Canada: British Columbia: Kelowna,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Pyrsonympha sp.,OS13,isolated from gut contents of Reticulitermes hesperus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092937.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha,Pyrsonympha sp. OS15,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,201979,Reticulitermes hesperus,Canada: British Columbia: Kelowna,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Pyrsonympha sp.,OS15,isolated from gut contents of Reticulitermes hesperus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092938.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha,Pyrsonympha sp. OS17,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,201979,Reticulitermes hesperus,Canada: British Columbia: Kelowna,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Pyrsonympha sp.,OS17,isolated from gut contents of Reticulitermes hesperus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092939.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha,Pyrsonympha sp. OS6,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,201979,Reticulitermes hesperus,Canada: British Columbia: Kelowna,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Pyrsonympha sp.,OS6,isolated from gut contents of Reticulitermes hesperus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092940.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha,Pyrsonympha sp. OS8,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,201979,Reticulitermes hesperus,Canada: British Columbia: Kelowna,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Pyrsonympha sp.,OS8,isolated from gut contents of Reticulitermes hesperus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092941.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha,Pyrsonympha sp. X,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60591,Reticulitermes speratus,Japan: Saitama: Tokigawa,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Pyrsonympha sp.,X,isolated from gut contents of Reticulitermes speratus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092942.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha,Pyrsonympha sp. 485,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60591,Reticulitermes speratus,Japan: Saitama: Tokigawa,"Molecular Evolution of Three Oxymonad Genera; Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,F.W. and Kudo,T.",Unpublished,Pyrsonympha grandis,485,isolated from gut contents of Reticulitermes speratus,NA,NA,"Molecular Evolution of Three Oxymonad Genera; Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,F.W. and Kudo,T.",Unpublished
AB326376.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. HsDnA,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,377914,Hodotermopsis sjoestedti,Japan: Yakushima Island,Phylogenetic diversity of 'Endomicrobia' and their specific affiliation with termite gut flagellates,"Ikeda-Ohtsubo,W., Desai,M., Stingl,U. and Brune,A.","Microbiology (Reading, Engl.) 153 (PT 10), 3458-3465 (2007)",Dinenympha sp. HsDnA,HsDnA,NA,Hodotermopsis sjoestedti,NA,Phylogenetic diversity of 'Endomicrobia' and their specific affiliation with termite gut flagellates,"Ikeda-Ohtsubo,W., Desai,M., Stingl,U. and Brune,A.","Microbiology (Reading, Engl.) 153 (PT 10), 3458-3465 (2007)"
AB326377.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. HsDnA2,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,377914,Hodotermopsis sjoestedti,Japan: Yakushima Island,Phylogenetic diversity of 'Endomicrobia' and their specific affiliation with termite gut flagellates,"Ikeda-Ohtsubo,W., Desai,M., Stingl,U. and Brune,A.","Microbiology (Reading, Engl.) 153 (PT 10), 3458-3465 (2007)",Dinenympha sp. HsDnA2,HsDnA2,NA,Hodotermopsis sjoestedti,NA,Phylogenetic diversity of 'Endomicrobia' and their specific affiliation with termite gut flagellates,"Ikeda-Ohtsubo,W., Desai,M., Stingl,U. and Brune,A.","Microbiology (Reading, Engl.) 153 (PT 10), 3458-3465 (2007)"
AB326383.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Oxymonadidae,Oxymonas,Oxymonas,Oxymonas sp. NcOxA,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,223394,Neotermes castaneus,NA,Phylogenetic diversity of 'Endomicrobia' and their specific affiliation with termite gut flagellates,"Ikeda-Ohtsubo,W., Desai,M., Stingl,U. and Brune,A.","Microbiology (Reading, Engl.) 153 (PT 10), 3458-3465 (2007)",Oxymonas sp. NcOxA,NcOxA,NA,Neotermes castaneus,NA,Phylogenetic diversity of 'Endomicrobia' and their specific affiliation with termite gut flagellates,"Ikeda-Ohtsubo,W., Desai,M., Stingl,U. and Brune,A.","Microbiology (Reading, Engl.) 153 (PT 10), 3458-3465 (2007)"
AB505546.1,Eukaryota,Excavata,Metamonada,Preaxostyla,uncultured Preaxostyla RM2-SGM38,uncultured Preaxostyla RM2-SGM38,uncultured Preaxostyla RM2-SGM38,uncultured Preaxostyla RM2-SGM38,uncultured Preaxostyla RM2-SGM38,environmental,marine sediment (ENVO:03000033),marine cold seep (ENVO:01000127),free-living, ,NA,"Japan: Sagami Bay, off Hatsushima",Molecular evidence that phylogenetically diverged ciliates are active in microbial mats of deep-sea cold-seep sediment,"Takishita,K., Kakizoe,N., Yoshida,T. and Maruyama,T.","J. Eukaryot. Microbiol. 57 (1), 76-86 (2010)",uncultured eukaryote,RM2-SGM38,microbial mats in deep-sea cold seep sediment,NA,"Japan:Sagami Bay, off Hatsushima",Molecular evidence that phylogenetically diverged ciliates are active in microbial mats of deep-sea cold-seep sediment,"Takishita,K., Kakizoe,N., Yoshida,T. and Maruyama,T.","J. Eukaryot. Microbiol. 57 (1), 76-86 (2010)"
AB572137.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Paramastigidae,Paramastigidae,Paratrimastix,Paratrimastix pyriformis,Paratrimastix pyriformis,environmental,clay (ENVO:00002982),constructed feature (ENVO:00000070),free-living, ,NA,Japan: Kyoto,Analysis of the eukaryotic community and metabolites found in clay wall material used in the construction of traditional Japanese buildings,"Kitajima,S., Kamei,K., Nishitani,M. and Sato,H.","Biosci. Biotechnol. Biochem. 74 (10), 2083-2086 (2010)",uncultured eukaryote,ABC2_B04,clay wall material,NA,Japan,Analysis of the eukaryotic community and metabolites found in clay wall material used in the construction of traditional Japanese buildings,"Kitajima,S., Kamei,K., Nishitani,M. and Sato,H.","Biosci. Biotechnol. Biochem. 74 (10), 2083-2086 (2010)"
