accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,name,source,env_material,env_biome,biotic_relationship,specific_host,host_gb,host_taxonomy,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
GU824552,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,uncultured eukaryote,environmental,micro-oxi water (ENVO:missing),marine biome (ENVO:00000447),free-living,NA,NA,NA,Caribbean sea,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured eukaryote,BCI5F13RM2E05,"micro-oxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
AY046769,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,uncultured eukaryote,environmental,anaerobic sediment (ENVO:00002045),marine biome (ENVO:00000447),free-living,NA,NA,NA,Mexico: Southern Guaymas: Everest Mound area,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)",uncultured eukaryote,A3_E026,NA,NA,NA,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)"
AY046628,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,uncultured eukaryote,environmental,anaerobic sediment (ENVO:00002045),marine biome (ENVO:00000447),free-living,NA,NA,NA,Mexico: Southern Guaymas: Everest Mound area,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)",uncultured eukaryote,C1_E027,NA,NA,NA,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)"
AY046867,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,uncultured eukaryote,environmental,anaerobic sediment (ENVO:00002045),marine biome (ENVO:00000447),free-living,NA,NA,NA,Mexico: Southern Guaymas: Everest Mound area,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)",uncultured eukaryote,C3_E039,NA,NA,NA,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)"
AY046823,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,uncultured eukaryote,environmental,anaerobic sediment (ENVO:00002045),marine biome (ENVO:00000447),free-living,NA,NA,NA,Mexico: Southern Guaymas: Everest Mound area,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)",uncultured eukaryote,C2_E038,NA,NA,NA,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)"
AY046820,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,uncultured eukaryote,environmental,anaerobic sediment (ENVO:00002045),marine biome (ENVO:00000447),free-living,NA,NA,NA,Mexico: Southern Guaymas: Everest Mound area,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)",uncultured eukaryote,C2_E030,NA,NA,NA,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)"
AY046857,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,uncultured eukaryote,environmental,anaerobic sediment (ENVO:00002045),marine biome (ENVO:00000447),free-living,NA,NA,NA,Mexico: Southern Guaymas: Everest Mound area,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)",uncultured eukaryote,C3_E028,NA,NA,NA,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)"
AY046633,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,uncultured eukaryote,environmental,anaerobic sediment (ENVO:00002045),marine biome (ENVO:00000447),free-living,NA,NA,NA,Mexico: Southern Guaymas: Everest Mound area,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)",uncultured eukaryote,C1_E035,NA,NA,NA,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)"
AY046645,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,uncultured eukaryote,environmental,anaerobic sediment (ENVO:00002045),marine biome (ENVO:00000447),free-living,NA,NA,NA,Mexico: Southern Guaymas: Everest Mound area,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)",uncultured eukaryote,CS_E015,NA,NA,NA,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)"
AY046831,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,uncultured eukaryote,environmental,anaerobic sediment (ENVO:00002045),marine biome (ENVO:00000447),free-living,NA,NA,NA,Mexico: Southern Guaymas: Everest Mound area,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)",uncultured eukaryote,C3_E001,NA,NA,NA,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)"
AY046847,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,uncultured eukaryote,environmental,anaerobic sediment (ENVO:00002045),marine biome (ENVO:00000447),free-living,NA,NA,NA,Mexico: Southern Guaymas: Everest Mound area,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)",uncultured eukaryote,C3_E018,NA,NA,NA,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)"
AY046799,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,uncultured eukaryote,environmental,anaerobic sediment (ENVO:00002045),marine biome (ENVO:00000447),free-living,NA,NA,NA,Mexico: Southern Guaymas: Everest Mound area,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)",uncultured eukaryote,C2_E008,NA,NA,NA,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)"
AY046850,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,uncultured eukaryote,environmental,anaerobic sediment (ENVO:00002045),marine biome (ENVO:00000447),free-living,NA,NA,NA,Mexico: Southern Guaymas: Everest Mound area,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)",uncultured eukaryote,C3_E021,NA,NA,NA,Benthic eukaryotic diversity in the Guaymas Basin hydrothermal vent environment,"Edgcomb,V.P., Kysela,D.T., Teske,A., de Vera Gomez,A. and Sogin,M.L.","Proc. Natl. Acad. Sci. U.S.A. 99 (11), 7658-7662 (2002)"
DQ394703,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Spironucleus salmonis,isolate,NA,animal-associated environment (ENVO:01001002),parasite,8022,Oncorhynchus mykiss,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊActinopterygii;ÊActinopteri;ÊNeopterygii;ÊTeleostei;ÊOsteoglossocephalai;ÊClupeocephala;ÊEuteleosteomorpha;ÊProtacanthopterygii;ÊSalmoniformes;ÊSalmonidae;ÊSalmoninae;ÊOncorhynchus,Germany,Ultrastructure and molecular diagnosis of Spironucleus salmonis (Diplomonadida) from German rainbow trout Oncorhynchus mykiss,"Fard,M.R.S., Jorgensen,A., Sterud,E., Bleiss,W. and Poynton,S.L.",Unpublished,Spironucleus salmonis,Isolate 1,NA,Oncorhynchus mykiss,Germany,Ultrastructure and molecular diagnosis of Spironucleus salmonis (Diplomonadida) from German rainbow trout Oncorhynchus mykiss,"Fard,M.R.S., Jorgensen,A., Sterud,E., Bleiss,W. and Poynton,S.L.",Unpublished
KY031954,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,isolate,sediment (ENVO:00002007),marine biome (ENVO:00000447),free-living,NA,NA,NA,Germany,Syntrophic linkage between predatory Carpediemonas and specific prokaryotic populations,"Hamann,E.",Unpublished,Carpediemonas-like organisms,S16,NA,NA,germany,Syntrophic linkage between predatory Carpediemonas and specific prokaryotic populations,"Hamann,E.",Unpublished
HF568853,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,environmental,contaminated water (ENVO:00002186),freshwater biome (ENVO:00000873),free-living,NA,NA,NA,USA: Colorado: Rifle,Enrichment of specific protozoan populations during in situ bioremediation of uranium-contaminated groundwater,"Holmes,D.E., Giloteaux,L., Williams,K.H., Wrighton,K.C., Wilkins,M.J., Thompson,C.A., Roper,T.J., Long,P.E. and Lovley,D.R.","ISME J 7 (7), 1286-1298 (2013)",Carpediemonas-like organisms,RifleRDL13,groundwater sample,NA,"USA: Colorado, Rifle",Enrichment of specific protozoan populations during in situ bioremediation of uranium-contaminated groundwater,"Holmes,D.E., Giloteaux,L., Williams,K.H., Wrighton,K.C., Wilkins,M.J., Thompson,C.A., Roper,T.J., Long,P.E. and Lovley,D.R.","ISME J 7 (7), 1286-1298 (2013)"
AF199445,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,mammalia-associated environment (ENVO missing),parasite,9685,Felis catus,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊLaurasiatheria;ÊCarnivora;ÊFeliformia;ÊFelidae;ÊFelinae;ÊFelis,NA,Giardia duodenalis small subunit ribosomal RNA sequence analysis,"Hopkins,R.M. and Thompson,R.C.A.",Unpublished,Giardia intestinalis,BAC2,NA,Felis catus,na,Giardia duodenalis small subunit ribosomal RNA sequence analysis,"Hopkins,R.M. and Thompson,R.C.A.",Unpublished
EF050053,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Hexamita nelsoni,isolate,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),parasite,37623,Ostrea edulis,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊProtostomia;ÊLophotrochozoa;ÊMollusca;ÊBivalvia;ÊPteriomorphia;ÊOstreoida;ÊOstreoidea;ÊOstreidae;ÊOstrea,NA,Phylogeny of spironucleus (eopharyngia: diplomonadida: hexamitinae),"Jorgensen,A. and Sterud,E.","Protist 158 (2), 247-254 (2007)",Hexamita nelsoni,,NA,Ostrea edulis,NA,Phylogeny of spironucleus (eopharyngia: diplomonadida: hexamitinae),"Jorgensen,A. and Sterud,E.","Protist 158 (2), 247-254 (2007)"
